NAME,Time First,First Counter,Time Last,Last Counter,Timestamp,Energy
SN1,192.168.30.11,PING EMBEDDED FAILED,192.168.30.14,PING ROUTER OK
SN2,2025-10-01T15:18:45.514+02:00,93725.3,2025-10-08T15:29:32.437+02:00,99450.3,2025-10-01T00:00:00.000000001+02:00,5725
PTRC,2025-10-01T00:00:00.661+02:00,153085.8,2025-10-08T15:29:38.92+02:00,158814.5,2025-10-01T00:00:00.000000001+02:00,5728.700000000012
STRN,192.168.30.52,ERROR,Error: No such container: plc-datalog-influxDB-1
SN3,2025-10-01T00:00:00.227+02:00,118279.4,2025-10-08T15:29:50.801+02:00,123426,2025-10-01T00:00:00.000000001+02:00,5146.600000000006
SN4,192.168.30.54,PING EMBEDDED FAILED,192.168.30.14,PING ROUTER OK
ZINGAD,2025-10-01T00:00:00.98+02:00,182008.3,2025-10-08T15:30:02.908+02:00,187884.5,2025-10-01T00:00:00.000000001+02:00,5876.200000000012
BOVINO,2025-10-01T00:00:00.989+02:00,181234.3,2025-10-08T15:30:09.34+02:00,186511.2,2025-10-01T00:00:00.000000001+02:00,5276.900000000023
MINICHILLO,2025-10-01T00:00:00.434+02:00,450455.1,2025-10-08T15:30:16.076+02:00,456544.3,2025-10-01T00:00:00.000000001+02:00,6089.200000000012
ZINGAG,2025-10-01T00:00:00.749+02:00,187361.3,2025-10-08T15:30:24.162+02:00,192849.7,2025-10-01T00:00:00.000000001+02:00,5488.400000000023
ALDO2,2025-10-01T00:00:00.867+02:00,853875.1,2025-10-08T15:30:33.213+02:00,858314.1,2025-10-01T00:00:00.000000001+02:00,4439
RITOLI,192.168.38.2,ERROR,Error: No such container: plc-datalog-influxDB-1
ALDO3,2025-10-01T00:00:00.972+02:00,860009.4,2025-10-08T15:30:46.659+02:00,864339.6,2025-10-01T00:00:00.000000001+02:00,4330.199999999953
BICCARI,2025-10-06T11:26:04.117+02:00,68417.9,2025-10-08T14:50:45.194+02:00,69222.9,2025-10-01T00:00:00.000000001+02:00,805
FALCONE,2025-10-01T00:00:00.768+02:00,117331.1,2025-10-08T15:30:59.492+02:00,124150.8,2025-10-01T00:00:00.000000001+02:00,6819.699999999997
ETAPOWER,192.168.42.2,ERROR,bash: /etc/bash.bashrc: Input/output error Error: No such container: plc-datalog-influxDB-1
