NAME,Time First,First Counter,Time Last,Last Counter,Timestamp,Energy
SN1,192.168.30.11,PING EMBEDDED FAILED,192.168.30.14,PING ROUTER OK
SN2,2025-10-01T15:18:45.514+02:00,93725.3,2025-10-31T23:59:59.822+01:00,104801.4,2025-10-01T00:00:00.000000001+02:00,11076.099999999991
PTRC,2025-10-01T00:00:00.661+02:00,153085.8,2025-10-31T23:59:58.982+01:00,164952.9,2025-10-01T00:00:00.000000001+02:00,11867.100000000006
STRN,192.168.30.52,ERROR,Error: No such container: plc-datalog-influxDB-1
SN3,2025-10-01T00:00:00.227+02:00,118279.4,2025-10-31T23:59:58.94+01:00,129113.7,2025-10-01T00:00:00.000000001+02:00,10834.300000000003
SN4,192.168.30.54,PING EMBEDDED FAILED,192.168.30.14,PING ROUTER OK
ZINGAD,2025-10-01T00:00:00.98+02:00,182008.3,2025-10-31T23:59:59.12+01:00,194518,2025-10-01T00:00:00.000000001+02:00,12509.700000000012
BOVINO,2025-10-01T00:00:00.989+02:00,181234.3,2025-10-12T09:27:04.365+02:00,187022,2025-10-01T00:00:00.000000001+02:00,5787.700000000012
MINICHILLO,2025-10-01T00:00:00.434+02:00,450455.1,2025-10-31T23:59:59.078+01:00,463841.6,2025-10-01T00:00:00.000000001+02:00,13386.5
ZINGAG,2025-10-01T00:00:00.749+02:00,187361.3,2025-10-31T23:59:59.843+01:00,199389.2,2025-10-01T00:00:00.000000001+02:00,12027.900000000023
ALDO2,2025-10-01T00:00:00.867+02:00,853875.1,2025-10-31T23:59:59.106+01:00,862912.5,2025-10-01T00:00:00.000000001+02:00,9037.400000000023
RITOLI,192.168.38.2,ERROR,Error: No such container: plc-datalog-influxDB-1
ALDO3,192.168.39.2,PING EMBEDDED FAILED,192.168.39.1,PING ROUTER FAILED
BICCARI,2025-10-01T18:29:41.038+02:00,64291.9,2025-10-31T23:59:59.744+01:00,75611.2,2025-10-01T00:00:00.000000001+02:00,11319.299999999996
FALCONE,2025-10-01T00:00:00.768+02:00,117331.1,2025-10-31T23:59:59.16+01:00,130456,2025-10-01T00:00:00.000000001+02:00,13124.899999999994
ETAPOWER,192.168.42.2,ERROR,bash: /etc/bash.bashrc: Input/output error Error: No such container: plc-datalog-influxDB-1
VALENTE,2025-10-01T00:00:00.211+02:00,919595.1,2025-10-31T23:59:59.654+01:00,930583.2,2025-10-01T00:00:00.000000001+02:00,10988.099999999977
FARES1,2025-10-01T00:00:00.356+02:00,753729.1,2025-10-31T23:59:59.357+01:00,765350.8,2025-10-01T00:00:00.000000001+02:00,11621.70000000007
IAPOZZUTO,2025-10-01T00:00:00.848+02:00,872606,2025-10-31T23:59:59.243+01:00,882654.9,2025-10-01T00:00:00.000000001+02:00,10048.900000000023
FALCONE2,2025-10-01T00:00:00.877+02:00,948265,2025-10-31T23:59:59.502+01:00,960707.3,2025-10-01T00:00:00.000000001+02:00,12442.300000000047
SERRATRAVERSA,192.168.48.2,ERROR,
FANELLI,2025-10-01T00:00:01.23+02:00,793653.6,2025-10-31T23:59:59.303+01:00,805244.3,2025-10-01T00:00:00.000000001+02:00,11590.70000000007
CANDELA,2025-10-01T00:00:00.554+02:00,924594.3,2025-10-31T23:59:59.578+01:00,934130.9,2025-10-01T00:00:00.000000001+02:00,9536.599999999977
LAURIOLA,2025-10-01T00:00:00.841+02:00,942267.5,2025-10-31T23:59:59.263+01:00,953966,2025-10-01T00:00:00.000000001+02:00,11698.5
TREQUERCE,2025-10-13T02:00:00.241+02:00,844659.9,2025-10-31T23:59:59.402+01:00,849657,2025-10-01T00:00:00.000000001+02:00,4997.099999999977
ASCOLI,2025-10-01T00:00:00.887+02:00,866837.9,2025-10-31T23:59:59.687+01:00,866837.9,2025-10-01T00:00:00.000000001+02:00,0
MONTARATRO,192.168.56.2,NO DATA
BICCARI2,2025-10-01T00:00:00.051+02:00,125041.3,2025-10-31T23:59:59.028+01:00,139653.5,2025-10-01T00:00:00.000000001+02:00,14612.199999999997
SCRIMA,2025-10-05T19:33:39.354+02:00,127626.6,2025-10-31T23:59:59.091+01:00,137363.5,2025-10-01T00:00:00.000000001+02:00,9736.899999999994
LOBUONO,2025-10-01T00:00:00.289+02:00,787926.8,2025-10-31T23:59:59.85+01:00,797648.4,2025-10-01T00:00:00.000000001+02:00,9721.599999999977
