NAME,Time First,First Counter,Time Last,Last Counter,Timestamp,Energy
SN1,192.168.30.11,PING EMBEDDED FAILED,192.168.30.14,PING ROUTER OK
SN2,2025-11-01T00:00:01.014+01:00,104801.4,2025-11-30T23:59:59.075+01:00,110531.9,2025-11-01T00:00:00.000000001+01:00,5730.5
PTRC,2025-11-01T00:00:00.073+01:00,164952.9,2025-11-30T23:59:59.818+01:00,171272.2,2025-11-01T00:00:00.000000001+01:00,6319.3000000000175
STRN,192.168.30.52,ERROR,Error: No such container: plc-datalog-influxDB-1
SN3,2025-11-01T00:00:00.062+01:00,129113.7,2025-11-30T23:59:59.721+01:00,136239.8,2025-11-01T00:00:00.000000001+01:00,7126.099999999991
SN4,192.168.30.54,PING EMBEDDED FAILED,192.168.30.14,PING ROUTER OK
ZINGAD,2025-11-01T00:00:00.643+01:00,194518,2025-11-30T23:59:59.281+01:00,200591.1,2025-11-01T00:00:00.000000001+01:00,6073.100000000006
BOVINO,2025-11-10T08:48:26.385+01:00,195731.2,2025-11-30T23:59:59.162+01:00,200683.7,2025-11-01T00:00:00.000000001+01:00,4952.5
MINICHILLO,2025-11-01T00:00:00.185+01:00,463841.6,2025-11-30T23:59:58.991+01:00,472125.2,2025-11-01T00:00:00.000000001+01:00,8283.600000000035
ZINGAG,2025-11-01T00:00:01.019+01:00,199389.2,2025-11-30T23:59:59.624+01:00,205487.1,2025-11-01T00:00:00.000000001+01:00,6097.899999999994
ALDO2,2025-11-01T00:00:00.248+01:00,862912.5,2025-11-30T23:59:59.422+01:00,867448.4,2025-11-01T00:00:00.000000001+01:00,4535.900000000023
RITOLI,192.168.38.2,ERROR,Error: No such container: plc-datalog-influxDB-1
ALDO3,2025-11-01T00:00:00.547+01:00,868958.5,2025-11-30T23:59:59.766+01:00,873275.5,2025-11-01T00:00:00.000000001+01:00,4317
BICCARI,2025-11-01T00:00:00.933+01:00,75611.2,2025-11-30T23:59:59.795+01:00,81129.6,2025-11-01T00:00:00.000000001+01:00,5518.400000000009
FALCONE,2025-11-01T00:00:00.209+01:00,130456,2025-11-30T23:59:59.1+01:00,138568.4,2025-11-01T00:00:00.000000001+01:00,8112.399999999994
ETAPOWER,192.168.42.2,PING EMBEDDED FAILED,192.168.42.1,PING ROUTER OK
VALENTE,192.168.43.2,PING EMBEDDED FAILED,192.168.43.1,PING ROUTER FAILED
FARES1,2025-11-01T00:00:00.469+01:00,765350.8,2025-11-30T23:59:59.584+01:00,772144.6,2025-11-01T00:00:00.000000001+01:00,6793.79999999993
IAPOZZUTO,2025-11-01T00:00:00.419+01:00,882654.9,2025-11-30T23:59:59.256+01:00,888199.3,2025-11-01T00:00:00.000000001+01:00,5544.400000000023
FALCONE2,2025-11-01T00:00:00.675+01:00,960707.3,2025-11-30T23:59:59.366+01:00,968002.1,2025-11-01T00:00:00.000000001+01:00,7294.79999999993
SERRATRAVERSA,2025-11-01T00:00:00.512+01:00,869431.8,2025-11-16T21:22:43.178+01:00,871442.4,2025-11-01T00:00:00.000000001+01:00,2010.5999999999767
FANELLI,2025-11-01T00:00:00.542+01:00,805244.3,2025-11-30T23:59:58.977+01:00,812076.3,2025-11-01T00:00:00.000000001+01:00,6832
CANDELA,2025-11-01T00:00:00.989+01:00,934130.9,2025-11-30T23:59:59.611+01:00,939030.8,2025-11-01T00:00:00.000000001+01:00,4899.900000000023
LAURIOLA,192.168.53.2,PING EMBEDDED FAILED,192.168.53.1,PING ROUTER FAILED
TREQUERCE,2025-11-01T00:00:00.562+01:00,849657,2025-11-30T23:59:59.897+01:00,856452.7,2025-11-01T00:00:00.000000001+01:00,6795.699999999953
ASCOLI,2025-11-01T00:00:00.736+01:00,866837.9,2025-11-30T23:59:59.053+01:00,866837.9,2025-11-01T00:00:00.000000001+01:00,0
MONTARATRO,2025-11-01T00:00:00.955+01:00,865842.2,2025-11-15T16:42:19.387+01:00,868412.7,2025-11-01T00:00:00.000000001+01:00,2570.5
BICCARI2,2025-11-01T00:00:00.293+01:00,139653.5,2025-11-30T23:59:59.237+01:00,148437.2,2025-11-01T00:00:00.000000001+01:00,8783.700000000012
SCRIMA,2025-11-01T00:00:00.32+01:00,137363.5,2025-11-30T23:59:59.379+01:00,144309,2025-11-01T00:00:00.000000001+01:00,6945.5
LOBUONO,192.168.59.2,PING EMBEDDED FAILED,192.168.59.1,PING ROUTER OK
FANELLI2,2025-11-01T00:00:01.011+01:00,847736.6,2025-11-30T23:59:59.945+01:00,855632.1,2025-11-01T00:00:00.000000001+01:00,7895.5
CASTELLUCCIO2,192.168.61.2,PING EMBEDDED FAILED,192.168.61.1,PING ROUTER OK
BOVINO2,192.168.62.2,PING EMBEDDED FAILED,192.168.62.1,PING ROUTER OK
SAURI,2025-11-01T00:00:00.671+01:00,814575.8,2025-11-30T23:59:59.528+01:00,819175.6,2025-11-01T00:00:00.000000001+01:00,4599.79999999993
CELOZZI2,192.168.65.2,NO DATA
DADDARIO1,2025-11-01T00:00:00.342+01:00,885325.8,2025-11-30T23:59:59.81+01:00,891467.1,2025-11-01T00:00:00.000000001+01:00,6141.29999999993
DADDARIO2,192.168.67.2,PING EMBEDDED FAILED,192.168.67.1,PING ROUTER OK
MONTARATRO2,2025-11-02T08:56:38.365+01:00,997479,2025-11-09T07:09:52.335+01:00,999660.6,2025-11-01T00:00:00.000000001+01:00,2181.5999999999767
CANDELA2,2025-11-01T00:00:00.229+01:00,784337.8,2025-11-30T23:59:59.173+01:00,788518.9,2025-11-01T00:00:00.000000001+01:00,4181.099999999977
MONTARATRO4,2025-11-01T00:00:00.293+01:00,987340.6,2025-11-29T13:49:20.892+01:00,995588.1,2025-11-01T00:00:00.000000001+01:00,8247.5
CRETA,2025-11-01T00:00:00.443+01:00,767623.9,2025-11-30T23:59:59.525+01:00,774726.1,2025-11-01T00:00:00.000000001+01:00,7102.199999999953
SCROCCO,2025-11-01T00:00:00.265+01:00,966396.3,2025-11-30T23:59:59.828+01:00,973180.2,2025-11-01T00:00:00.000000001+01:00,6783.899999999907
TERRANOVA,192.168.77.2,ERROR,
JONICA,192.168.78.2,PING EMBEDDED FAILED,192.168.78.1,PING ROUTER FAILED
