NAME,Time First,First Counter,Time Last,Last Counter,Timestamp,Energy
SN1,PING ERROR
SN2,2025-09-01T00:00:00.463+02:00,88434.2,2025-09-12T08:03:07.673+02:00,90233.4,2025-09-01T00:00:00.000000001+02:00,1799.199999999997
PTRC,2025-09-01T00:00:00.25+02:00,146728.1,2025-09-30T23:59:59.542+02:00,153085.8,2025-09-01T00:00:00.000000001+02:00,6357.6999999999825
STRN,ERROR,Error: No such container: plc-datalog-influxDB-1
SN3,2025-09-01T00:00:00.619+02:00,111775,2025-09-30T23:59:59.106+02:00,118279.4,2025-09-01T00:00:00.000000001+02:00,6504.399999999994
SN4,PING ERROR
ZINGAD,2025-09-01T00:00:00.541+02:00,174865.8,2025-09-30T23:59:59.15+02:00,182008.3,2025-09-01T00:00:00.000000001+02:00,7142.5
BOVINO,2025-09-01T00:00:01.118+02:00,171065.2,2025-09-30T23:59:59.74+02:00,181234.3,2025-09-01T00:00:00.000000001+02:00,10169.099999999977
LENA,PING ERROR
MINICHILLO,2025-09-01T00:00:01.434+02:00,442556.5,2025-09-30T23:59:59.278+02:00,450455.1,2025-09-01T00:00:00.000000001+02:00,7898.599999999977
ZINGAG,2025-09-01T00:00:00.091+02:00,180636.7,2025-09-30T23:59:59.58+02:00,187361.3,2025-09-01T00:00:00.000000001+02:00,6724.599999999977
LENA2,PING ERROR
ALDO2,2025-09-01T00:00:00.961+02:00,851108.4,2025-09-30T23:59:59.781+02:00,853875.1,2025-09-01T00:00:00.000000001+02:00,2766.6999999999534
RITOLI,ERROR,Error: No such container: plc-datalog-influxDB-1
ALDO3,2025-09-01T00:00:00.316+02:00,857182.9,2025-09-30T23:59:59.841+02:00,860009.4,2025-09-01T00:00:00.000000001+02:00,2826.5
BICCARI,NO DATA,NO DATA,NO DATA
FALCONE,2025-09-01T00:00:00.886+02:00,111262.8,2025-09-30T23:59:59.631+02:00,117331.1,2025-09-01T00:00:00.000000001+02:00,6068.300000000003
ETAPOWER,ERROR,bash: /etc/bash.bashrc: Input/output error
Error: No such container: plc-datalog-influxDB-1
VALENTE,2025-09-01T00:00:00.696+02:00,916193.9,2025-09-30T23:59:59.14+02:00,919595.1,2025-09-01T00:00:00.000000001+02:00,3401.1999999999534
FARES1,PING ERROR
IAPOZZUTO,2025-09-01T00:00:00.934+02:00,868900.2,2025-09-30T23:59:59.765+02:00,872606,2025-09-01T00:00:00.000000001+02:00,3705.8000000000466
FALCONE2,2025-09-01T00:00:00.889+02:00,942931.9,2025-09-30T23:59:59.87+02:00,948265,2025-09-01T00:00:00.000000001+02:00,5333.099999999977
SERRATRAVERSA,2025-09-01T00:00:00.46+02:00,853726.7,2025-09-30T23:59:59.395+02:00,858942.8,2025-09-01T00:00:00.000000001+02:00,5216.100000000093
FESTA,PING ERROR
FANELLI,2025-09-01T00:00:00.622+02:00,790069.2,2025-09-30T23:59:59.98+02:00,793653.6,2025-09-01T00:00:00.000000001+02:00,3584.4000000000233
