NAME,Time First,First Counter,Time Last,Last Counter,Timestamp,Energy
SN1,192.168.30.11,PING EMBEDDED FAILED,192.168.30.14,PING ROUTER OK
SN2,2025-10-01T15:18:45.514+02:00,93725.3,2025-10-30T11:26:29.57+01:00,104670.8,2025-10-01T00:00:00.000000001+02:00,10945.5
PTRC,2025-10-01T00:00:00.661+02:00,153085.8,2025-10-30T11:26:36.266+01:00,164774.1,2025-10-01T00:00:00.000000001+02:00,11688.300000000017
STRN,192.168.30.52,ERROR,Error: No such container: plc-datalog-influxDB-1
SN3,2025-10-01T00:00:00.227+02:00,118279.4,2025-10-30T11:26:50.253+01:00,129021.5,2025-10-01T00:00:00.000000001+02:00,10742.100000000006
SN4,192.168.30.54,PING EMBEDDED FAILED,192.168.30.14,PING ROUTER OK
ZINGAD,2025-10-01T00:00:00.98+02:00,182008.3,2025-10-30T11:27:00.871+01:00,194407,2025-10-01T00:00:00.000000001+02:00,12398.700000000012
BOVINO,192.168.32.2,PING EMBEDDED FAILED,192.168.32.1,PING ROUTER OK
MINICHILLO,2025-10-01T00:00:00.434+02:00,450455.1,2025-10-30T11:27:14.213+01:00,463624.5,2025-10-01T00:00:00.000000001+02:00,13169.400000000023
ZINGAG,2025-10-01T00:00:00.749+02:00,187361.3,2025-10-30T11:27:22.792+01:00,199248.7,2025-10-01T00:00:00.000000001+02:00,11887.400000000023
ALDO2,2025-10-01T00:00:00.867+02:00,853875.1,2025-10-30T11:27:31.256+01:00,862855.2,2025-10-01T00:00:00.000000001+02:00,8980.099999999977
RITOLI,192.168.38.2,ERROR,Error: No such container: plc-datalog-influxDB-1
ALDO3,2025-10-01T00:00:00.972+02:00,860009.4,2025-10-30T11:27:43.996+01:00,868896.4,2025-10-01T00:00:00.000000001+02:00,8887
BICCARI,2025-10-01T18:29:41.038+02:00,64291.9,2025-10-30T11:27:49.652+01:00,75484.4,2025-10-01T00:00:00.000000001+02:00,11192.499999999993
FALCONE,2025-10-01T00:00:00.768+02:00,117331.1,2025-10-30T11:27:55.442+01:00,130143.2,2025-10-01T00:00:00.000000001+02:00,12812.099999999991
ETAPOWER,192.168.42.2,ERROR,bash: /etc/bash.bashrc: Input/output error Error: No such container: plc-datalog-influxDB-1
VALENTE,2025-10-01T00:00:00.211+02:00,919595.1,2025-10-30T11:28:07.221+01:00,930460.2,2025-10-01T00:00:00.000000001+02:00,10865.099999999977
FARES1,2025-10-01T00:00:00.356+02:00,753729.1,2025-10-30T11:28:12.702+01:00,765195.2,2025-10-01T00:00:00.000000001+02:00,11466.099999999977
IAPOZZUTO,2025-10-01T00:00:00.848+02:00,872606,2025-10-30T11:28:19.545+01:00,882462.1,2025-10-01T00:00:00.000000001+02:00,9856.099999999977
FALCONE2,2025-10-01T00:00:00.877+02:00,948265,2025-10-30T11:28:27.644+01:00,960434.1,2025-10-01T00:00:00.000000001+02:00,12169.099999999977
SERRATRAVERSA,2025-10-01T00:00:00.534+02:00,858942.8,2025-10-30T11:28:34.234+01:00,869255.1,2025-10-01T00:00:00.000000001+02:00,10312.29999999993
FANELLI,2025-10-01T00:00:01.23+02:00,793653.6,2025-10-30T11:28:42.845+01:00,805060.2,2025-10-01T00:00:00.000000001+02:00,11406.599999999977
CANDELA,2025-10-01T00:00:00.554+02:00,924594.3,2025-10-30T11:28:49.72+01:00,933998.8,2025-10-01T00:00:00.000000001+02:00,9404.5
