NAME,Time First,First Counter,Time Last,Last Counter,Timestamp,Energy
JONICA,192.168.78.2,PING EMBEDDED FAILED,192.168.78.1,PING ROUTER FAILED
MEDI1,2025-12-01T00:00:00.504+01:00,434141.3,2025-12-31T23:59:59.124+01:00,437769.8,2025-12-01T00:00:00.000000001+01:00,3628.5
LACEDONIA,2025-12-01T00:00:00.549+01:00,649371.4,2025-12-31T23:59:58.464+01:00,652512.5,2025-12-01T00:00:00.000000001+01:00,3141.0999999999767
GARWIND,2025-12-01T00:00:00.599+01:00,841687.9,2025-12-31T23:59:58.813+01:00,844737.2,2025-12-01T00:00:00.000000001+01:00,3049.29999999993
DELICETO,2025-12-01T00:00:01.2+01:00,755246.4,2025-12-26T12:27:57.536+01:00,757929.5,2025-12-01T00:00:00.000000001+01:00,2683.0999999999767
BICCARI3,192.168.86.2,PING EMBEDDED FAILED,192.168.86.1,PING ROUTER FAILED
RUOCCOTROIA,192.168.87.2,PING EMBEDDED FAILED,192.168.87.1,PING ROUTER FAILED
RUOCCOLUCERA,192.168.88.2,PING EMBEDDED FAILED,192.168.88.1,PING ROUTER FAILED
SOLOUNO,2025-12-01T00:00:00.355+01:00,244943.1,2025-12-31T23:59:59.949+01:00,252791.8,2025-12-01T00:00:00.000000001+01:00,7848.6999999999825
ORSARA,2025-12-07T03:12:28.312+01:00,620076.5,2025-12-28T14:38:13.952+01:00,622078.3,2025-12-01T00:00:00.000000001+01:00,2001.8000000000466
PIA,2025-12-01T00:00:00.614+01:00,632751.3,2025-12-31T23:59:59.554+01:00,636068.2,2025-12-01T00:00:00.000000001+01:00,3316.899999999907
ARCOSTUDIO,192.168.92.2,PING EMBEDDED FAILED,192.168.92.1,PING ROUTER FAILED
MATERA1,2025-12-01T00:00:01.075+01:00,166008.5,2025-12-31T23:59:59.053+01:00,173737.1,2025-12-01T00:00:00.000000001+01:00,7728.600000000006
MATERA2,192.168.94.2,ERROR,
POMARICO,192.168.95.2,PING EMBEDDED FAILED,192.168.95.1,PING ROUTER OK
FERRANDINA1,2025-12-01T00:00:01.73+01:00,175069.8,2025-12-30T22:42:47.982+01:00,178607.9,2025-12-01T00:00:00.000000001+01:00,3538.100000000006
FERRANDINA2,2025-12-01T00:00:00.715+01:00,166447,2025-12-31T23:59:58.687+01:00,172455.2,2025-12-01T00:00:00.000000001+01:00,6008.200000000012
